,word,frequency
1320,DISCUSSION,1
1321,EARNESTLY,1
1322,POSITIVELY,1
1323,REQUIREMENT,2
1324,44,1
1325,TAXING,1
1326,EASY,1
1327,COMPOSED,1
1328,RESILIENT,1
1329,INTERNAL,1
1330,EXTERNAL,1
1331,UNITE,1
1332,NEVERTHELESS,1
1333,HAPPY,1
1334,DRIVING,1
1335,45,1
1336,FEMALE,4
1337,EXTRA,1
1338,DEVOTE,1
1339,WOMEN,6
1340,ALTHOUGH,1
1341,RECEIVE,1
1342,HIGHER,1
1343,MEN,1
1344,NOWADAYS,1
1345,PARTICIPATION,1
1346,LOWER,1
1347,MALE,1
1348,MANAGERIAL,1
1349,RELATIVELY,1
1350,LOW,1
1351,REGARD,1
1352,STATUTORY,4
1353,MATERNITY,4
1354,LEAVE,4
1355,WEEKS,5
1356,MOTHERS,1
1357,SPEND,1
1358,NEWBORN,1
1359,BABIES,1
1360,APPLY,1
1361,REIMBURSEMENT,1
1362,CAPPED,1
1363,822,1
1364,THAT,1
1365,SAY,1
1366,BORNE,1
1367,EMPLOYER,1
1368,IMMEDIATE,1
1369,OFFICERS,1
1370,ACTUAL,1
1371,EXPECTED,1
1372,DATE,1
1373,CONFINEMENT,1
1374,FALLS,1
1375,PROVIDED,2
1376,BASED,1
1377,CARERS,1
1378,NEIGHBOURHOOD,1
1379,STAY,1
1380,BABYCARE,1
1381,LACTATION,1
1382,ROOMS,1
1383,DEVELOPERS,1
1384,BREASTFEEDING,1
1385,PREMISES,1
1386,FREE,1
1387,CERVICAL,2
1388,CANCER,4
1389,VACCINATION,1
1390,GIRLS,1
1391,AGE,1
1392,GROUPS,1
1393,PREVENTION,2
1394,COMPLETION,1
1395,STUDY,1
1396,LOCAL,2
1397,RISK,1
1398,BREAST,2
1399,UNFORTUNATE,1
1400,SUFFERED,1
1401,MISCARRIAGE,1
1402,FOOD,1
1403,HYGIENE,1
1404,HOSPITAL,1
1405,IMPLEMENTED,1
1406,ABORTUSES,1
1407,EXAMINING,1
1408,PROPOSALS,1
1409,HOLISTIC,1
1410,PROPORTION,1
1411,BODIES,1
1412,ADVISORY,1
1413,COMMITTEES,1
1414,PERCENTAGE,1
1415,EXCHANGES,1
1416,CLEARING,1
1417,CHAIRLADY,1
1418,MRS,1
1419,LAURA,1
1420,CHA,1
1421,LISTED,1
1422,APPOINT,1
1423,FEMALES,1
1424,BOARD,1
1425,46,1
1426,INAUGURAL,1
1427,CEREMONY,1
1428,FIFTH,1
1429,SAID,1
1430,PROPELS,1
1431,CONFIDENCE,1
1432,FOUNDATION,1
1433,NEARLY,1
1434,OUTBOUND,1
1435,VISITS,1
1436,CALLED,1
1437,MINISTRIES,1
1438,COMMISSIONS,1
1439,BEIJING,1
1440,LEADERS,1
1441,PROVINCIAL,1
1442,MUNICIPAL,1
1443,AUTONOMOUS,1
1444,GOVERNMENTS,1
1445,VISITING,1
1446,SENIOR,1
1447,OFFICIALS,1
1448,COUNTLESS,1
1449,GATHERINGS,1
1450,ACADEMIA,1
1451,LISTENING,1
1452,ATTENTIVELY,1
1453,OBSERVING,1
1454,COME,1
1455,CONCLUSION,1
1456,INTRINSIC,1
1457,ALIVE,1
1458,REGARDED,1
1459,ENVIED,1
1460,47,1
1461,MYSELF,1
1462,CAPABLE,1
1463,LEVERAGE,1
1464,EXPLORING,1
1465,STAUNCH,1
1466,RISE,1
1467,CHALLENGES,1
1468,INJECT,1
1469,HOLDING,1
1470,BELIEFS,1
1471,BELIEVING,3
1472,CERTAINLY,1
1473,48,1
1474,REKINDLE,1
